id,id_portale,date,start_time,end_time,application_deadline,registered_students_num,is_visible,exam_type_id,exam_group_id,semester_exam_name_id
1,321654321,"2026-01-19","09:00","12:00","2026-01-12",512,1,1,1,1
2,321654322,"2026-01-19","14:00","17:00","2026-01-12",340,1,1,1,1
3,321654323,"2026-01-19","09:00","11:00","2026-01-13",285,1,2,2,2
4,321654324,"2026-01-21","09:00","12:00","2026-01-14",420,1,1,3,3
5,321654325,"2026-01-21","14:00","16:00","2026-01-14",380,1,2,3,3
6,321654326,"2026-01-22","10:00","13:00","2026-01-15",512,1,1,4,4
7,321654327,"2026-01-22","15:00","17:00","2026-01-15",298,1,3,4,4
8,321654328,"2026-01-23","09:00","11:30","2026-01-16",450,1,2,5,5
9,321654329,"2026-01-24","09:00","12:00","2026-01-17",365,1,1,6,6
10,321654330,"2026-01-24","14:00","16:00","2026-01-17",220,1,2,6,6
11,321654331,"2026-01-27","09:00","12:00","2026-01-20",195,1,1,7,7
12,321654332,"2026-01-27","14:00","17:00","2026-01-20",175,1,1,7,7
13,321654333,"2026-01-28","10:00","12:30","2026-01-21",310,1,2,8,8
14,321654334,"2026-01-29","09:00","11:00","2026-01-22",245,1,3,9,9
15,321654335,"2026-01-29","14:00","17:00","2026-01-22",128,1,1,9,9
16,321654336,"2026-01-30","09:00","12:00","2026-01-23",485,1,1,10,10
17,321654337,"2026-01-30","14:00","16:30","2026-01-23",325,1,2,10,10
18,321654338,"2026-02-03","09:00","11:30","2026-01-27",290,1,2,1,1
19,321654339,"2026-02-03","14:00","17:00","2026-01-27",405,1,1,2,2
20,321654340,"2026-02-04","10:00","13:00","2026-01-28",360,1,1,3,3
21,321654341,"2026-02-05","09:00","11:00","2026-01-29",275,1,3,4,4
22,321654342,"2026-02-06","09:00","12:00","2026-01-30",495,1,1,5,5
23,321654343,"2026-02-06","14:00","16:00","2026-01-30",255,1,2,5,5
24,321654344,"2026-02-07","10:00","12:30","2026-01-31",185,1,2,6,6
