id,course_code,professor_name,students_num
1,216463,Dr. Alessandro Rossi,120
2,216463,Prof. Giulia Bianchi,95
3,216463,Dr. Marco Esposito,110
4,413245,Prof. Laura Conti,100
5,413245,Dr. Federico Ricci,85
6,567890,Dr. Elisa Romano,90
7,567890,Prof. Matteo De Luca,80
8,234567,Dr. Chiara Ferraro,75
9,234567,Prof. Luca Galli,70
10,234567,Dr. Antonio Marini,65
11,345678,Prof. Silvia Fontana,60
12,345678,Dr. Daniele Colombo,55
13,456789,Dr. Francesca Moretti,150
14,456789,Prof. Roberto Greco,140
15,678901,Prof. Valerio Costa,50
16,678901,Dr. Martina Riccardi,45
17,789012,Dr. Pietro Lombardi,85
18,789012,Prof. Elena Santoro,90
19,789012,Dr. Giovanni Rinaldi,80
20,890123,Prof. Angela De Santis,70
21,890123,Dr. Stefano Barbieri,60
22,901234,Dr. Riccardo Fontini,95
23,901234,Prof. Daniela Marino,100
24,901234,Dr. Lorenzo Vitale,85
