id,academic_year,semester,exam_name,start_date,end_date,exam_session_id
1,"2025-2026","1","Mathematical Analysis I","2026-01-15","2026-02-15",1
2,"2025-2026","1","Physics I","2026-01-10","2026-02-10",1
3,"2025-2026","1","Computer Programming","2026-01-20","2026-02-20",1
4,"2025-2026","1","Linear Algebra","2026-01-12","2026-02-12",1
5,"2025-2026","1","Chemistry","2026-01-18","2026-02-18",1
6,"2025-2026","1","English Language","2026-01-08","2026-02-08",1
7,"2025-2026","1","Technical Drawing","2026-01-25","2026-02-25",1
8,"2025-2026","1","Statistics","2026-01-22","2026-02-22",1
9,"2025-2026","1","History of Science","2026-01-05","2026-02-05",1
10,"2025-2026","1","Materials Science","2026-01-30","2026-02-28",1
